Date,Open,High,Low,Close,Volume,Currency
2013-01-10,1561.12,1568.29,1559.49,1560.07,0,BRL
2013-01-11,1560.21,1571.43,1560.21,1568.34,0,BRL
2013-01-14,1568.38,1570.88,1561.44,1563.33,0,BRL
2013-01-15,1563.01,1570.29,1561.49,1561.79,0,BRL
2013-01-16,1561.29,1577.32,1561.29,1577.08,0,BRL
2013-01-17,1581.96,1581.96,1573.06,1580.24,0,BRL
2013-01-18,1580.04,1582.36,1576.51,1579.97,0,BRL
2013-01-21,1580.49,1586.62,1580.49,1583.54,0,BRL
2013-01-22,1584.06,1589.2,1583.22,1585.79,0,BRL
2013-01-23,1585.73,1593.41,1585.73,1588.54,0,BRL
2013-01-24,1584.68,1594.35,1577.35,1578.36,0,BRL
2013-01-28,1578.58,1592.47,1567.87,1567.87,0,BRL
2013-01-29,1567.87,1568.91,1557.97,1562.88,0,BRL
2013-01-30,1564.18,1573.53,1559.48,1560.15,0,BRL
2013-01-31,1560.32,1568.68,1551.13,1554.06,0,BRL
2013-02-01,1559.7,1564.61,1551.16,1560.33,0,BRL
2013-02-04,1560.31,1561.63,1549.15,1553.62,0,BRL
2013-02-05,1553.59,1564.09,1551.7,1562.51,0,BRL
2013-02-06,1562.62,2063.94,1538.04,2063.24,0,BRL
2013-02-07,1524.72,1559.98,1524.72,1540.12,0,BRL
2013-02-08,1540.05,1747.01,1537.33,1554.65,0,BRL
2013-02-13,1554.79,1559.75,1552.85,1553.29,0,BRL
2013-02-14,1559.14,1559.14,1544.24,1551.02,0,BRL
2013-02-15,1551.17,1556.66,1548.0,1550.52,0,BRL
2013-02-18,1550.97,1554.74,1549.93,1551.03,0,BRL
2013-02-19,1551.06,1563.88,1546.61,1557.36,0,BRL
2013-02-20,1556.94,1561.93,1551.97,1552.61,0,BRL
2013-02-21,1552.4,1554.89,1544.91,1553.25,0,BRL
2013-02-22,1561.28,1561.28,1550.23,1558.24,0,BRL
2013-02-25,1569.96,1569.96,1550.27,1550.82,0,BRL
2013-02-26,1550.82,1556.28,1545.06,1555.81,0,BRL
2013-02-27,1554.47,1570.61,1552.16,1569.06,0,BRL
2013-02-28,1576.98,1576.98,1559.07,1569.97,0,BRL
2013-03-01,1569.95,1572.07,1559.44,1569.65,0,BRL
2013-03-04,1569.65,1573.04,1564.75,1568.28,0,BRL
2013-03-05,1579.45,1585.77,1570.88,1579.64,0,BRL
2013-03-06,1590.03,1590.03,1578.41,1580.85,0,BRL
2013-03-07,1580.85,1584.47,1577.69,1580.34,0,BRL
2013-03-08,1580.31,1585.21,1571.8,1573.57,0,BRL
2013-03-11,1573.67,1589.43,1572.67,1587.69,0,BRL
2013-03-12,1587.69,1589.43,1582.38,1588.56,0,BRL
2013-03-13,1588.3,1600.18,1584.11,1592.69,0,BRL
2013-03-14,1592.81,1607.15,1592.81,1605.29,0,BRL
2013-03-15,1605.31,1609.31,1599.31,1608.85,0,BRL
2013-03-18,1608.73,1610.66,1599.02,1604.46,0,BRL
2013-03-19,1611.8,1613.56,1593.78,1603.42,0,BRL
2013-03-20,1610.81,1617.17,1605.16,1608.65,0,BRL
2013-03-21,1608.02,1617.1,1605.04,1613.52,0,BRL
2013-03-22,1613.56,1633.82,1613.56,1626.89,0,BRL
2013-03-25,1626.98,1636.36,1620.19,1625.61,0,BRL
2013-03-26,1631.53,1639.68,1624.92,1638.15,0,BRL
2013-03-27,1638.15,1638.9,1628.99,1634.26,0,BRL
2013-03-28,1640.93,1643.47,1632.38,1641.94,0,BRL
2013-04-01,1641.9,1642.17,1628.84,1638.59,0,BRL
2013-04-02,1638.59,1651.96,1635.81,1647.57,0,BRL
2013-04-03,1647.76,1659.42,1630.86,1638.11,0,BRL
2013-04-04,1637.9,1646.8,1623.22,1646.67,0,BRL
2013-04-05,1646.33,1646.33,1597.93,1602.75,0,BRL
2013-04-08,1603.01,1617.27,1592.71,1612.4,0,BRL
2013-04-09,1612.47,1619.84,1603.17,1615.26,0,BRL
2013-04-10,1615.33,1638.95,1610.77,1633.39,0,BRL
2013-04-11,1633.38,1635.15,1627.07,1632.07,0,BRL
2013-04-12,1631.58,1631.58,1617.25,1619.37,0,BRL
2013-04-15,1619.36,1626.77,1612.48,1620.79,0,BRL
2013-04-16,1631.21,1635.35,1618.61,1621.51,0,BRL
2013-04-17,1635.93,1635.93,1606.4,1615.19,0,BRL
2013-04-18,1616.25,1629.44,1607.96,1609.14,0,BRL
2013-04-19,1609.18,1618.88,1602.73,1617.75,0,BRL
2013-04-22,1617.94,1634.12,1600.38,1632.53,0,BRL
2013-04-23,1632.72,1665.56,1627.7,1651.82,0,BRL
2013-04-24,1662.03,1662.03,1647.99,1648.19,0,BRL
2013-04-25,1648.09,1657.12,1637.12,1642.11,0,BRL
2013-04-26,1653.9,1653.9,1625.04,1640.77,0,BRL
2013-04-29,1640.87,1661.62,1632.3,1658.16,0,BRL
2013-04-30,1658.08,1660.85,1640.42,1657.6,0,BRL
2013-05-02,1657.6,1672.05,1639.69,1666.67,0,BRL
2013-05-03,1667.13,1685.66,1667.13,1680.38,0,BRL
2013-05-06,1681.96,1688.34,1677.61,1677.65,0,BRL
2013-05-07,1678.58,1686.05,1676.37,1684.39,0,BRL
