date,open,high,low,close,volume
2000-01-03,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,349618605
2000-01-04,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,96834782
2000-01-05,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,49543377
2000-01-06,2.2449730749940503e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,277743175
2000-01-07,2.697198032781194e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,367071385
2000-01-10,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,481171285
2000-01-11,2.697198032781194e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,307769464
2000-01-12,2.2449730749940503e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,39784833
2000-01-13,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,516452174
2000-01-14,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,492431143
2000-01-17,3.149422756118168e-05,3.149422756118168e-05,2.6971980332746167e-05,2.697198033274617e-05,129113043
2000-01-18,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,704116482
2000-01-19,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,535218605
2000-01-20,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,602402427
2000-01-21,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,74315065
2000-01-24,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,381896866
2000-01-25,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,0
2000-01-26,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,332541153
2000-01-27,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,713875026
2000-01-28,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,129113043
2000-01-31,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,89234378
2000-02-01,2.6971980332746167e-05,2.6971980332746167e-05,2.2449730754047434e-05,2.697198033274617e-05,106593326
2000-02-02,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,349618605
2000-02-03,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,471037412
2000-02-04,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,252971486
2000-02-07,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,735644086
2000-02-08,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,218441254
2000-02-09,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,538221234
2000-02-10,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,304766835
2000-02-11,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,32278260
2000-02-14,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,96834782
2000-02-15,2.697198032781194e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,81821638
2000-02-16,2.697198032781194e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,481171285
2000-02-17,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,220693225
2000-02-18,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,617415572
2000-02-21,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,374390293
2000-02-22,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,228199798
2000-02-23,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,171056016
2000-02-24,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,213186653
2000-02-25,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,731515471
2000-02-28,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,349618605
2000-02-29,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,535218605
2000-03-01,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,428625278
2000-03-02,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,193669565
2000-03-03,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,652321133
2000-03-06,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,0
2000-03-07,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,0
2000-03-08,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,317434176
2000-03-09,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,560365622
2000-03-10,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,153884732
2000-03-13,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,0
2000-03-14,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,117102528
2000-03-15,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,545540142
2000-03-16,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,267609302
2000-03-17,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,367071385
2000-03-20,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,488490193
2000-03-21,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,79569666
2000-03-22,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,441386451
2000-03-23,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,210559353
2000-03-24,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,453396967
2000-03-27,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,706743782
2000-03-28,2.2449730754047434e-05,2.6971980332746167e-05,2.2449730754047434e-05,2.697198033274617e-05,738646715
2000-03-29,2.697198032781194e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,131365015
2000-03-30,2.2449730749940503e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,342112033
2000-03-31,2.2449730754047434e-05,2.6971980332746167e-05,2.2449730754047434e-05,2.697198033274617e-05,349618605
2000-04-03,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,235518706
2000-04-04,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,163643276
2000-04-05,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,136619616
2000-04-06,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,438946815
2000-04-07,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,317434176
2000-04-10,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,114099899
2000-04-11,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,545540142
2000-04-12,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,756287160
2000-04-13,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,446265723
2000-04-14,2.2449730749940503e-05,2.2449730749940503e-05,1.7927483522332287e-05,2.24497307499405e-05,185787664
2000-04-17,1.7927483522332287e-05,2.2449730749940503e-05,1.7927483522332287e-05,2.24497307499405e-05,684224066
2000-04-18,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,513449545
2000-04-19,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,24771688
2000-04-20,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,545540142
2000-04-21,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,0
2000-04-24,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,481171285
2000-04-25,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,438946815
2000-04-26,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,310021436
2000-04-27,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,81821638
2000-04-28,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,156136704
2000-05-01,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,0
2000-05-02,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,195921537
2000-05-03,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,89234378
2000-05-04,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,399349646
2000-05-05,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,520721537
2000-05-08,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,602402427
