Date,Open,High,Low,Close,Volume,Currency
2000-01-03,17098.0,17408.0,16719.0,16930.0,777289024,BRL
2000-01-04,16908.0,16908.0,15851.0,15851.0,102420240,BRL
2000-01-05,15871.0,16302.0,15350.0,16245.0,112100208,BRL
2000-01-06,16237.0,16499.0,15977.0,16107.0,105251368,BRL
2000-01-07,16125.0,16449.0,16125.0,16309.0,633182592,BRL
2000-01-10,16325.0,17057.0,16325.0,17022.0,103685104,BRL
2000-01-11,17045.0,17197.0,16573.0,16573.0,968851776,BRL
2000-01-12,16574.0,16724.0,16331.0,16617.0,984624320,BRL
2000-01-13,16663.0,17715.0,16663.0,17298.0,145953088,BRL
2000-01-14,17306.0,17800.0,17306.0,17658.0,135141536,BRL
2000-01-17,17678.0,18099.0,17678.0,18053.0,621525376,BRL
2000-01-18,18062.0,18062.0,17625.0,17903.0,979702336,BRL
2000-01-19,17905.0,18075.0,17470.0,17470.0,863731520,BRL
2000-01-20,17487.0,17622.0,17029.0,17177.0,710331328,BRL
2000-01-21,17188.0,17372.0,16901.0,17034.0,739029184,BRL
2000-01-24,17049.0,17263.0,16972.0,16972.0,546244480,BRL
2000-01-26,16972.0,17105.0,16727.0,17105.0,682595584,BRL
2000-01-27,17114.0,17422.0,17081.0,17081.0,817606912,BRL
2000-01-28,17150.0,17252.0,16547.0,16734.0,101969936,BRL
2000-01-31,16744.0,16749.0,16167.0,16388.0,883015424,BRL
2000-02-01,16389.0,16675.0,16389.0,16522.0,858663360,BRL
2000-02-02,16546.0,16875.0,16546.0,16868.0,831658304,BRL
2000-02-03,16892.0,17457.0,16892.0,17457.0,109046408,BRL
2000-02-04,17471.0,17962.0,17471.0,17932.0,113118096,BRL
2000-02-07,17937.0,18126.0,17746.0,18126.0,980741952,BRL
2000-02-08,18249.0,18729.0,18249.0,18686.0,130692848,BRL
2000-02-09,18759.0,18886.0,18224.0,18361.0,110882640,BRL
2000-02-10,18367.0,18672.0,18155.0,18604.0,947495680,BRL
2000-02-11,18635.0,18775.0,18027.0,18083.0,103356328,BRL
2000-02-14,18083.0,18264.0,17746.0,17819.0,772925824,BRL
2000-02-15,17818.0,17932.0,17451.0,17921.0,919502848,BRL
2000-02-16,17921.0,18247.0,17743.0,18112.0,111363520,BRL
2000-02-17,18116.0,18297.0,17979.0,17979.0,683213056,BRL
2000-02-18,17979.0,18008.0,17489.0,17625.0,733356672,BRL
2000-02-21,17626.0,17887.0,17364.0,17700.0,945919680,BRL
2000-02-22,17698.0,17913.0,17466.0,17489.0,732701632,BRL
2000-02-23,17489.0,17855.0,17479.0,17833.0,676876352,BRL
2000-02-24,17846.0,18119.0,17706.0,17776.0,825430592,BRL
2000-02-25,17784.0,17988.0,17758.0,17787.0,539138304,BRL
2000-02-28,17787.0,17787.0,17383.0,17543.0,420139360,BRL
2000-02-29,17545.0,17818.0,17545.0,17660.0,673509248,BRL
2000-03-01,17668.0,17953.0,17655.0,17953.0,923870976,BRL
2000-03-02,17966.0,18154.0,17809.0,18016.0,972304576,BRL
2000-03-03,18016.0,18632.0,18016.0,18632.0,594473472,BRL
2000-03-08,18617.0,18617.0,18184.0,18283.0,335353120,BRL
2000-03-09,18285.0,18650.0,18285.0,18650.0,557162496,BRL
2000-03-10,18650.0,18720.0,18233.0,18280.0,437411488,BRL
2000-03-13,18279.0,18279.0,17506.0,17595.0,567100992,BRL
2000-03-14,17595.0,17941.0,17222.0,17222.0,675101696,BRL
2000-03-15,17229.0,17469.0,16922.0,17382.0,742844608,BRL
2000-03-16,17397.0,17661.0,17397.0,17642.0,740584064,BRL
2000-03-17,17654.0,17733.0,17470.0,17511.0,657555136,BRL
2000-03-20,17511.0,17733.0,17435.0,17526.0,445321280,BRL
2000-03-21,17528.0,18343.0,17510.0,18343.0,693243520,BRL
2000-03-22,18346.0,18860.0,18314.0,18314.0,729681024,BRL
2000-03-23,18314.0,18644.0,18183.0,18331.0,631109440,BRL
2000-03-24,18332.0,18692.0,18332.0,18675.0,576150592,BRL
2000-03-27,18675.0,19047.0,18533.0,18951.0,444430752,BRL
2000-03-28,18952.0,18960.0,18335.0,18338.0,730310400,BRL
2000-03-29,18339.0,18575.0,17973.0,18053.0,606778816,BRL
2000-03-30,18053.0,18053.0,17455.0,17647.0,620965248,BRL
2000-03-31,17660.0,17950.0,17560.0,17820.0,923801536,BRL
2000-04-03,17826.0,17826.0,17173.0,17245.0,489190048,BRL
2000-04-04,17253.0,17450.0,16095.0,16758.0,743158272,BRL
2000-04-05,16762.0,17043.0,16230.0,16714.0,865972352,BRL
2000-04-06,16719.0,17152.0,16719.0,17146.0,715146304,BRL
2000-04-07,17150.0,17514.0,17150.0,17514.0,573068800,BRL
2000-04-10,17519.0,17572.0,16782.0,16783.0,382010912,BRL
2000-04-11,16787.0,16867.0,16309.0,16539.0,622784192,BRL
2000-04-12,16542.0,16785.0,16311.0,16323.0,859342080,BRL
2000-04-13,16325.0,16605.0,15501.0,15501.0,686365184,BRL
2000-04-14,15501.0,15501.0,14596.0,14794.0,934786560,BRL
2000-04-17,14761.0,14821.0,14029.0,14816.0,970415616,BRL
2000-04-18,14817.0,15469.0,14767.0,15408.0,959744192,BRL
2000-04-19,15438.0,15536.0,14850.0,14926.0,518713760,BRL
2000-04-20,14938.0,15204.0,14938.0,15203.0,312924320,BRL
2000-04-24,15204.0,15225.0,14625.0,14794.0,457788288,BRL
2000-04-25,14798.0,15403.0,14798.0,15401.0,590817408,BRL
2000-04-26,15401.0,15517.0,15268.0,15446.0,733573248,BRL
2000-04-27,15446.0,15487.0,14835.0,15440.0,114392640,BRL
2000-04-28,15450.0,15907.0,15450.0,15538.0,124393912,BRL
2000-05-02,15596.0,15944.0,15523.0,15524.0,213120368,BRL
2000-05-03,15525.0,15525.0,14980.0,15109.0,143427328,BRL
2000-05-04,15111.0,15144.0,14873.0,14970.0,131740672,BRL
2000-05-05,14967.0,15218.0,14811.0,15218.0,113361024,BRL
2000-05-08,15220.0,15223.0,14867.0,14891.0,871423168,BRL
2000-05-09,14897.0,15041.0,14412.0,14582.0,145174240,BRL
2000-05-10,14570.0,14586.0,14238.0,14434.0,174672720,BRL
2000-05-11,14447.0,14723.0,14398.0,14499.0,167610656,BRL
2000-05-12,14496.0,14638.0,14350.0,14459.0,151304688,BRL
2000-05-15,14469.0,15070.0,14397.0,15056.0,110607040,BRL
2000-05-16,15074.0,15445.0,15074.0,15360.0,167670000,BRL
2000-05-17,15361.0,15361.0,14856.0,14871.0,818023744,BRL
2000-05-18,14876.0,14973.0,14620.0,14627.0,828668928,BRL
2000-05-19,14594.0,14618.0,13920.0,14327.0,109506296,BRL
2000-05-22,14330.0,14369.0,13583.0,13891.0,132744648,BRL
2000-05-23,13891.0,14145.0,13583.0,13587.0,183219136,BRL
2000-05-24,13592.0,14197.0,13556.0,14166.0,236671248,BRL
2000-05-25,14187.0,14499.0,14027.0,14186.0,212948064,BRL
2000-05-26,14204.0,14549.0,14172.0,14542.0,168396128,BRL
2000-05-29,14541.0,14858.0,14541.0,14773.0,817894784,BRL
2000-05-30,14815.0,15308.0,14815.0,15249.0,208860528,BRL
2000-05-31,15251.0,15328.0,14931.0,14957.0,166189440,BRL
2000-06-01,14967.0,15473.0,14967.0,15450.0,195109232,BRL
2000-06-02,15518.0,16261.0,15518.0,16222.0,281524768,BRL
2000-06-05,16222.0,16312.0,15975.0,16023.0,138646592,BRL
2000-06-06,16018.0,16173.0,15827.0,15947.0,187060032,BRL
2000-06-07,15955.0,16278.0,15709.0,16272.0,202247936,BRL
2000-06-08,16286.0,16640.0,16227.0,16399.0,161062240,BRL
2000-06-09,16421.0,16561.0,16200.0,16342.0,153303920,BRL
2000-06-12,16351.0,16365.0,16084.0,16097.0,876024960,BRL
2000-06-13,16100.0,16360.0,16075.0,16354.0,160084672,BRL
2000-06-14,16365.0,16523.0,16135.0,16366.0,259097184,BRL
2000-06-15,16369.0,16630.0,16325.0,16561.0,168377856,BRL
2000-06-16,16567.0,16598.0,16379.0,16425.0,217853088,BRL
2000-06-19,16423.0,16863.0,16411.0,16850.0,210009440,BRL
2000-06-20,16854.0,16952.0,16708.0,16844.0,194094800,BRL
