Date,Open,High,Low,Close,Volume,Currency
2011-05-19,1895.54,1914.62,1885.06,1886.83,0,BRL
2011-05-20,1886.84,1901.49,1881.89,1892.27,0,BRL
2011-05-23,1892.23,1892.24,1867.47,1882.8,0,BRL
2011-05-24,1882.94,1908.14,1882.94,1907.18,0,BRL
2011-05-25,1906.74,1917.48,1899.18,1905.56,0,BRL
2011-05-26,1905.52,1928.28,1902.58,1928.04,0,BRL
2011-05-27,1927.89,1939.62,1927.16,1932.63,0,BRL
2011-05-30,1932.63,1937.62,1922.12,1922.21,0,BRL
2011-05-31,1922.24,1938.87,1918.23,1934.29,0,BRL
2011-06-01,1934.28,1935.22,1907.51,1908.85,0,BRL
2011-06-02,1908.85,1922.76,1898.22,1922.76,0,BRL
2011-06-03,1922.73,1940.3,1906.08,1923.81,0,BRL
2011-06-06,1924.32,1927.97,1889.1,1893.42,0,BRL
2011-06-07,1893.82,1910.87,1893.82,1898.63,0,BRL
2011-06-08,1898.33,1902.31,1884.26,1894.51,0,BRL
2011-06-09,1894.49,1911.33,1887.7,1903.14,0,BRL
2011-06-10,1903.16,1903.42,1880.41,1885.38,0,BRL
2011-06-13,1885.38,1892.86,1867.66,1867.69,0,BRL
2011-06-14,1867.69,1887.73,1867.69,1880.3,0,BRL
2011-06-15,1880.29,1880.29,1863.76,1868.92,0,BRL
2011-06-16,1868.92,1879.93,1841.08,1853.73,0,BRL
2011-06-17,1853.74,1862.23,1841.82,1853.67,0,BRL
2011-06-20,1853.65,1865.43,1846.03,1857.93,0,BRL
2011-06-21,1857.94,1870.39,1857.94,1867.2,0,BRL
2011-06-22,1867.13,1882.53,1862.62,1864.76,0,BRL
2011-06-24,1864.73,1870.65,1855.1,1860.11,0,BRL
2011-06-27,1860.12,1870.32,1853.45,1863.8,0,BRL
2011-06-28,1863.79,1894.92,1863.79,1894.85,0,BRL
2011-06-29,1894.85,1903.7,1887.72,1897.88,0,BRL
2011-06-30,1897.96,1906.87,1892.49,1905.53,0,BRL
2011-07-01,1905.53,1929.7,1898.26,1929.12,0,BRL
2011-07-04,1929.11,1940.76,1926.8,1940.76,0,BRL
2011-07-05,1940.77,1940.77,1920.1,1923.49,0,BRL
2011-07-06,1923.49,1923.49,1903.92,1910.81,0,BRL
2011-07-07,1910.81,1927.25,1900.35,1900.35,0,BRL
2011-07-08,1900.35,1900.36,1875.32,1878.65,0,BRL
2011-07-11,1878.7,1878.79,1839.68,1844.45,0,BRL
2011-07-12,1844.45,1852.0,1829.5,1829.5,0,BRL
2011-07-13,1829.5,1861.31,1829.5,1855.92,0,BRL
2011-07-14,1855.95,1856.86,1821.02,1828.48,0,BRL
2011-07-15,1828.47,1839.81,1815.52,1821.01,0,BRL
2011-07-18,1820.95,1820.95,1799.6,1804.82,0,BRL
2011-07-19,1804.84,1821.61,1802.68,1811.72,0,BRL
2011-07-20,1811.88,1825.58,1811.33,1811.33,0,BRL
2011-07-21,1811.33,1844.78,1811.33,1838.51,0,BRL
2011-07-22,1838.53,1852.21,1836.54,1839.31,0,BRL
2011-07-25,1838.73,1839.79,1823.17,1832.59,0,BRL
2011-07-26,1832.58,1837.39,1815.21,1821.95,0,BRL
2011-07-27,1821.95,1821.95,1792.26,1794.43,0,BRL
2011-07-28,1794.44,1816.73,1794.22,1805.86,0,BRL
2011-07-29,1805.81,1811.05,1786.05,1809.13,0,BRL
2011-08-01,1809.13,1829.84,1796.02,1804.92,0,BRL
2011-08-02,1804.75,1804.77,1763.41,1764.94,0,BRL
2011-08-03,1764.94,1768.22,1710.18,1728.31,0,BRL
2011-08-04,1728.14,1728.14,1634.92,1640.64,0,BRL
2011-08-05,1640.6,1671.43,1590.45,1640.36,0,BRL
2011-08-08,1640.34,1640.34,1492.88,1511.52,0,BRL
2011-08-09,1511.55,1580.27,1511.55,1579.11,0,BRL
2011-08-10,1579.12,1601.79,1546.3,1585.66,0,BRL
2011-08-11,1585.66,1647.54,1585.54,1639.26,0,BRL
2011-08-12,1639.29,1653.41,1625.11,1644.07,0,BRL
2011-08-15,1644.07,1683.38,1644.07,1680.52,0,BRL
2011-08-16,1680.5,1680.5,1647.67,1672.61,0,BRL
2011-08-17,1672.52,1693.2,1662.92,1693.2,0,BRL
2011-08-18,1693.19,1693.19,1612.66,1641.28,0,BRL
2011-08-19,1641.15,1650.02,1615.25,1615.82,0,BRL
2011-08-22,1617.24,1645.81,1609.95,1611.05,0,BRL
2011-08-23,1611.04,1646.08,1593.41,1646.08,0,BRL
2011-08-24,1646.09,1657.5,1623.75,1646.45,0,BRL
2011-08-25,1646.5,1658.68,1620.28,1629.72,0,BRL
2011-08-26,1629.71,1646.01,1602.66,1639.49,0,BRL
2011-08-29,1639.54,1686.89,1639.54,1683.1,0,BRL
2011-08-30,1683.15,1706.51,1671.14,1697.99,0,BRL
2011-08-31,1698.74,1734.88,1698.74,1734.88,0,BRL
2011-09-01,1734.87,1790.12,1734.87,1780.58,0,BRL
2011-09-02,1780.57,1780.57,1730.62,1740.26,0,BRL
2011-09-05,1740.25,1740.25,1690.38,1696.48,0,BRL
2011-09-06,1696.46,1737.63,1673.6,1736.08,0,BRL
2011-09-08,1736.12,1778.09,1736.12,1763.88,0,BRL
2011-09-09,1763.88,1763.88,1708.41,1718.29,0,BRL
2011-09-12,1718.03,1718.03,1677.59,1715.15,0,BRL
2011-09-13,1715.3,1731.16,1700.52,1712.8,0,BRL
2011-09-14,1712.8,1745.32,1700.1,1732.46,0,BRL
2011-09-15,1732.54,1756.97,1732.54,1739.63,0,BRL
2011-09-16,1739.57,1760.87,1735.85,1760.72,0,BRL
2011-09-19,1760.73,1763.17,1731.54,1763.08,0,BRL
2011-09-20,1763.11,1782.0,1752.41,1752.41,0,BRL
2011-09-21,1752.41,1780.5,1741.06,1742.73,0,BRL
2011-09-22,1742.69,1742.69,1646.09,1664.95,0,BRL
2011-09-23,1664.83,1677.45,1647.71,1655.06,0,BRL
2011-09-26,1655.25,1673.15,1633.44,1671.07,0,BRL
2011-09-27,1671.38,1709.71,1671.38,1681.98,0,BRL
2011-09-28,1682.01,1707.41,1667.73,1668.45,0,BRL
2011-09-29,1668.56,1697.88,1660.08,1673.44,0,BRL
2011-09-30,1673.43,1673.43,1637.82,1655.66,0,BRL
2011-10-03,1655.5,1655.5,1615.11,1615.11,0,BRL
2011-10-04,1615.09,1615.09,1572.5,1604.74,0,BRL
2011-10-05,1604.75,1619.11,1593.07,1613.74,0,BRL
