Date,Open,High,Low,Close,Volume,Currency
2009-01-06,726.66,731.68,718.29,725.17,0,BRL
2009-01-07,724.97,724.97,708.55,716.29,0,BRL
2009-01-08,716.3,731.96,706.89,731.96,0,BRL
2009-01-09,731.27,733.81,718.88,721.27,0,BRL
2009-01-12,721.34,721.86,704.93,707.01,0,BRL
2009-01-13,706.69,722.19,699.12,711.65,0,BRL
2009-01-14,711.53,711.72,687.34,692.2,0,BRL
2009-01-15,692.76,709.44,680.81,709.44,0,BRL
2009-01-16,709.45,719.5,705.23,719.43,0,BRL
2009-01-19,719.45,720.25,700.11,701.88,0,BRL
2009-01-20,702.11,706.72,685.45,688.05,0,BRL
2009-01-21,688.33,696.84,683.28,695.27,0,BRL
2009-01-22,695.27,700.32,677.55,689.32,0,BRL
2009-01-23,689.32,693.78,670.02,688.75,0,BRL
2009-01-26,689.02,697.21,682.63,689.17,0,BRL
2009-01-27,689.36,698.19,686.39,695.81,0,BRL
2009-01-28,696.01,709.5,695.48,698.38,0,BRL
2009-01-29,698.22,698.56,688.22,692.4,0,BRL
2009-01-30,692.1,703.44,686.28,696.13,0,BRL
2009-02-02,695.93,695.93,681.83,681.83,0,BRL
2009-02-03,681.65,695.69,679.12,695.07,0,BRL
2009-02-04,694.96,709.32,688.28,691.91,0,BRL
2009-02-05,691.91,702.9,684.16,698.87,0,BRL
2009-02-06,699.04,714.55,696.23,714.17,0,BRL
2009-02-09,713.46,713.46,701.18,701.51,0,BRL
2009-02-10,701.86,707.56,686.06,692.37,0,BRL
2009-02-11,692.56,703.38,688.13,697.09,0,BRL
2009-02-12,695.89,703.34,686.71,696.4,0,BRL
2009-02-13,697.18,710.27,697.18,707.32,0,BRL
2009-02-16,707.25,708.59,696.73,708.59,0,BRL
2009-02-17,708.49,708.49,684.05,684.05,0,BRL
2009-02-18,684.03,691.27,683.03,690.64,0,BRL
2009-02-19,690.68,695.2,684.48,690.45,0,BRL
2009-02-20,690.03,692.82,675.47,687.2,0,BRL
2009-02-25,687.2,698.4,676.47,687.04,0,BRL
