Date,Open,High,Low,Close,Volume,Currency
2001-07-03,1007.34,1007.34,1007.34,1007.34,0,BRL
2001-07-04,995.81,995.81,995.81,995.81,0,BRL
2001-07-05,971.55,971.55,971.55,971.55,0,BRL
2001-07-06,959.37,959.37,959.37,959.37,0,BRL
2001-07-10,937.79,937.79,937.79,937.79,0,BRL
2001-07-11,942.62,942.62,942.62,942.62,0,BRL
2001-07-12,966.04,966.04,966.04,966.04,0,BRL
2001-07-13,987.35,987.35,987.35,987.35,0,BRL
2001-07-16,974.84,974.84,974.84,974.84,0,BRL
2001-07-17,980.12,980.12,980.12,980.12,0,BRL
2001-07-18,962.61,962.61,962.61,962.61,0,BRL
2001-07-19,971.74,971.74,971.74,971.74,0,BRL
2001-07-20,981.89,981.89,981.89,981.89,0,BRL
2001-07-23,984.19,984.19,984.19,984.19,0,BRL
2001-07-24,966.51,966.51,966.51,966.51,0,BRL
2001-07-25,975.8,975.8,975.8,975.8,0,BRL
2001-07-26,970.81,970.81,970.81,970.81,0,BRL
2001-07-27,981.52,981.52,981.52,981.52,0,BRL
2001-07-30,975.27,975.27,975.27,975.27,0,BRL
2001-07-31,982.59,982.59,982.59,982.59,0,BRL
2001-08-01,976.52,976.52,976.52,976.52,0,BRL
2001-08-02,974.7,974.7,974.7,974.7,0,BRL
2001-08-03,977.3,977.3,977.3,977.3,0,BRL
2001-08-06,998.61,998.61,998.61,998.61,0,BRL
2001-08-07,1002.34,1002.34,1002.34,1002.34,0,BRL
2001-08-08,1005.31,1005.31,1005.31,1005.31,0,BRL
2001-08-09,1008.46,1008.46,1008.46,1008.46,0,BRL
2001-08-10,1009.81,1009.81,1009.81,1009.81,0,BRL
2001-08-13,992.17,992.17,992.17,992.17,0,BRL
2001-08-14,999.86,999.86,999.86,999.86,0,BRL
2001-08-15,990.08,990.08,990.08,990.08,0,BRL
2001-08-16,981.98,981.98,981.98,981.98,0,BRL
2001-08-17,944.86,944.86,944.86,944.86,0,BRL
2001-08-20,940.18,940.18,940.18,940.18,0,BRL
2001-08-21,935.11,935.11,935.11,935.11,0,BRL
2001-08-22,943.51,943.51,943.51,943.51,0,BRL
2001-08-23,928.85,928.85,928.85,928.85,0,BRL
2001-08-24,934.66,934.66,934.66,934.66,0,BRL
2001-08-27,932.17,932.17,932.17,932.17,0,BRL
2001-08-28,934.91,934.91,934.91,934.91,0,BRL
2001-08-29,938.82,938.82,938.82,938.82,0,BRL
2001-08-30,923.27,923.27,923.27,923.27,0,BRL
2001-08-31,925.34,925.34,925.34,925.34,0,BRL
2001-09-03,918.8,918.8,918.8,918.8,0,BRL
2001-09-04,928.46,928.46,928.46,928.46,0,BRL
2001-09-05,926.11,926.11,926.11,926.11,0,BRL
