Date,Open,High,Low,Close,Volume,Currency
2006-07-04,6064.02,6108.36,6040.58,6083.4,0,BRL
2006-07-05,6083.19,6083.19,5920.38,5954.59,0,BRL
2006-07-06,5954.16,6042.65,5954.16,5977.69,0,BRL
2006-07-07,5978.02,6023.64,5889.05,5937.99,0,BRL
2006-07-10,5941.67,5995.55,5899.5,5938.08,0,BRL
2006-07-11,5937.94,6011.68,5838.31,6008.85,0,BRL
2006-07-12,6009.0,6025.0,5931.0,5939.0,0,BRL
2006-07-13,5939.0,5939.0,5756.0,5784.0,0,BRL
2006-07-14,5710.65,5816.71,5693.12,5756.32,0,BRL
2006-07-17,5756.32,5784.83,5703.66,5719.06,0,BRL
2006-07-18,5719.87,5789.18,5677.87,5765.04,0,BRL
2006-07-19,5770.57,5961.44,5748.32,5946.39,0,BRL
2006-07-20,5948.29,6004.75,5831.0,5831.4,0,BRL
2006-07-21,5832.28,5895.96,5749.12,5758.9,0,BRL
2006-07-24,5763.92,5854.13,5763.92,5841.75,0,BRL
2006-07-25,5842.67,5911.51,5815.27,5904.44,0,BRL
2006-07-26,5904.44,5920.14,5850.77,5854.72,0,BRL
2006-07-27,5854.4,5940.08,5854.4,5901.61,0,BRL
2006-07-28,5901.26,5965.13,5889.83,5938.17,0,BRL
2006-07-31,5940.07,5944.7,5894.74,5894.74,0,BRL
2006-08-01,5894.87,5916.76,5831.78,5860.3,0,BRL
2006-08-02,5859.96,5980.68,5859.96,5956.05,0,BRL
2006-08-03,5956.02,6016.0,5888.26,5993.0,0,BRL
2006-08-04,5993.78,6089.43,5964.71,6004.43,0,BRL
2006-08-07,6004.43,6020.09,5960.94,5983.93,0,BRL
2006-08-08,5984.95,6051.67,5984.43,5995.81,0,BRL
2006-08-09,5996.19,6082.41,5947.06,5956.91,0,BRL
2006-08-10,5955.98,5963.96,5904.72,5939.96,0,BRL
2006-08-11,5940.25,5978.87,5899.0,5901.27,0,BRL
2006-08-14,5901.27,5966.09,5882.27,5897.69,0,BRL
2006-08-15,5899.01,6020.13,5899.01,6006.1,0,BRL
2006-08-16,6010.45,6083.39,6005.95,6079.02,0,BRL
2006-08-17,6035.9,6149.29,6035.9,6084.38,0,BRL
2006-08-18,6086.29,6096.29,6012.16,6059.56,0,BRL
2006-08-21,6059.39,6059.39,5997.17,6024.94,0,BRL
2006-08-22,6024.78,6036.75,5950.36,5968.06,0,BRL
2006-08-23,5967.91,5975.83,5832.7,5839.48,0,BRL
2006-08-24,5838.63,5871.6,5780.0,5854.6,0,BRL
2006-08-25,5855.68,5909.88,5841.92,5905.18,0,BRL
2006-08-28,5905.18,5951.76,5849.7,5947.52,0,BRL
2006-08-29,5947.94,5997.3,5926.56,5975.76,0,BRL
2006-08-30,5976.25,6024.6,5972.64,6008.37,0,BRL
2006-08-31,6008.37,6055.12,5976.28,6007.82,0,BRL
2006-09-01,6007.88,6169.05,6006.53,6169.05,0,BRL
2006-09-04,6169.05,6251.03,6169.05,6243.91,0,BRL
2006-09-05,6243.4,6247.04,6166.67,6217.02,0,BRL
2006-09-06,6217.02,6218.29,6141.83,6141.83,0,BRL
2006-09-08,6133.37,6163.31,6117.74,6146.66,0,BRL
2006-09-11,6146.73,6146.73,6028.11,6036.22,0,BRL
2006-09-12,6039.93,6075.65,6016.86,6056.83,0,BRL
2006-09-13,6057.1,6110.84,6043.78,6100.43,0,BRL
2006-09-14,6097.7,6109.49,6057.12,6061.49,0,BRL
2006-09-15,6064.62,6101.37,6041.45,6071.14,0,BRL
2006-09-18,6070.83,6133.01,6070.36,6083.29,0,BRL
2006-09-19,6083.07,6089.09,5995.54,6033.53,0,BRL
2006-09-20,6037.25,6076.83,5937.5,5985.23,0,BRL
2006-09-21,5985.64,6004.73,5863.56,5887.62,0,BRL
2006-09-22,5888.44,5913.32,5841.76,5907.95,0,BRL
2006-09-25,5907.62,5924.48,5819.76,5878.31,0,BRL
2006-09-26,5877.85,6016.83,5877.85,6016.83,0,BRL
2006-09-27,6016.97,6047.24,5971.89,6042.49,0,BRL
2006-09-28,6043.17,6073.93,6016.01,6070.63,0,BRL
2006-09-29,6070.66,6077.93,6036.3,6055.55,0,BRL
2006-10-02,6055.33,6151.95,6052.22,6124.29,0,BRL
2006-10-03,6123.19,6133.13,6069.34,6082.29,0,BRL
2006-10-04,6082.82,6203.27,6082.82,6196.74,0,BRL
2006-10-05,6197.29,6244.11,6183.26,6224.66,0,BRL
2006-10-06,6223.54,6228.85,6166.85,6226.18,0,BRL
2006-10-09,6226.7,6329.29,6181.82,6305.11,0,BRL
2006-10-10,6305.84,6391.09,6305.06,6382.91,0,BRL
2006-10-11,6381.43,6381.43,6273.76,6302.6,0,BRL
2006-10-13,6305.21,6442.3,6305.21,6393.84,0,BRL
2006-10-16,6395.23,6449.82,6372.64,6449.82,0,BRL
2006-10-17,6449.82,6449.82,6365.76,6415.33,0,BRL
2006-10-18,6415.66,6511.35,6362.54,6371.34,0,BRL
