Date,Open,High,Low,Close,Volume,Currency
2001-05-07,1016.54,1021.67,1004.62,1006.71,0,BRL
2001-05-08,1006.86,1012.3,998.41,1003.87,0,BRL
2001-05-09,1003.49,1008.49,998.71,1005.01,0,BRL
2001-05-10,1005.58,1015.58,1005.25,1006.81,0,BRL
2001-05-11,1007.98,1008.74,972.67,977.33,0,BRL
2001-05-14,977.88,978.8,957.25,958.32,0,BRL
2001-05-15,946.08,956.98,946.08,955.35,0,BRL
2001-05-16,957.59,982.84,953.61,979.5,0,BRL
2001-05-17,980.56,996.92,978.53,981.03,0,BRL
2001-05-18,981.47,994.36,978.44,987.75,0,BRL
2001-05-21,987.68,999.35,986.13,993.67,0,BRL
2001-05-22,994.39,999.05,978.34,980.35,0,BRL
2001-05-23,980.39,985.79,968.95,972.22,0,BRL
2001-05-24,972.37,979.18,965.27,969.38,0,BRL
2001-05-25,968.79,974.62,947.59,954.6,0,BRL
2001-05-28,954.69,964.85,942.52,950.15,0,BRL
2001-05-29,951.3,968.26,950.2,963.92,0,BRL
2001-05-30,964.37,974.44,964.35,968.63,0,BRL
2001-05-31,969.56,983.01,969.27,979.97,0,BRL
2001-06-01,980.0,988.22,967.04,988.22,0,BRL
2001-06-04,991.58,1007.43,991.34,1002.43,0,BRL
2001-06-05,1003.07,1031.43,1002.7,1028.88,0,BRL
2001-06-06,1029.03,1038.34,1029.03,1034.4,0,BRL
2001-06-07,1034.18,1048.33,1030.15,1047.73,0,BRL
2001-06-08,1048.25,1057.21,1045.9,1051.66,0,BRL
2001-06-11,1043.07,1050.91,1032.58,1035.31,0,BRL
2001-06-12,1037.02,1037.02,1021.42,1030.65,0,BRL
2001-06-13,1030.83,1067.59,1030.83,1061.53,0,BRL
2001-06-15,1060.88,1063.59,1041.31,1041.53,0,BRL
2001-06-18,1040.79,1042.72,997.84,1000.02,0,BRL
2001-06-19,1001.88,1009.08,992.43,1001.98,0,BRL
2001-06-20,1001.98,1014.19,1000.66,1009.19,0,BRL
2001-06-21,1009.56,1027.09,1007.01,1026.92,0,BRL
2001-06-22,1025.69,1041.47,1025.69,1033.81,0,BRL
2001-06-25,1034.58,1053.35,1024.68,1027.47,0,BRL
2001-06-26,1027.71,1032.14,1012.33,1023.35,0,BRL
2001-06-27,1023.53,1040.58,1023.39,1025.65,0,BRL
2001-06-28,1025.51,1038.75,1025.12,1034.48,0,BRL
2001-06-29,1034.59,1047.46,1033.39,1041.19,0,BRL
2001-07-02,1041.98,1049.28,1037.87,1042.32,0,BRL
2001-07-03,1041.96,1054.26,1023.89,1026.77,0,BRL
2001-07-04,1027.1,1029.96,999.08,1007.91,0,BRL
2001-07-05,1008.49,1021.84,998.47,1007.34,0,BRL
2001-07-06,1006.34,1012.34,988.97,995.59,0,BRL
2001-07-10,995.64,1005.46,966.14,966.14,0,BRL
2001-07-11,966.13,981.52,957.47,979.1,0,BRL
2001-07-12,979.1,986.44,971.91,982.6,0,BRL
2001-07-13,982.6,994.58,973.06,993.37,0,BRL
2001-07-16,993.59,994.99,983.28,983.28,0,BRL
2001-07-17,983.41,1006.91,983.41,1004.7,0,BRL
2001-07-18,1005.07,1007.0,979.95,981.99,0,BRL
2001-07-19,982.93,987.7,970.2,978.91,0,BRL
2001-07-20,979.23,992.27,974.8,990.89,0,BRL
2001-07-23,991.76,1002.87,991.26,996.23,0,BRL
2001-07-24,996.51,1003.1,977.44,978.57,0,BRL
2001-07-25,980.32,992.07,978.07,992.07,0,BRL
2001-07-26,993.39,996.89,978.95,983.15,0,BRL
2001-07-27,983.24,993.08,982.92,991.43,0,BRL
2001-07-30,991.97,1000.9,974.76,974.76,0,BRL
2001-07-31,975.16,984.87,972.7,980.52,0,BRL
2001-08-01,980.62,984.27,969.18,978.35,0,BRL
2001-08-02,978.31,990.53,978.31,990.53,0,BRL
2001-08-03,990.52,995.62,982.44,989.97,0,BRL
2001-08-06,991.71,999.6,990.49,998.79,0,BRL
2001-08-07,998.89,1003.52,996.78,1000.06,0,BRL
