Date,Open,High,Low,Close,Volume,Currency
2005-09-02,400.15,400.15,400.15,400.15,0,BRL
2005-09-05,403.26,403.26,403.26,403.26,0,BRL
2005-09-06,408.93,408.93,408.93,408.93,0,BRL
2005-09-08,408.66,408.66,408.66,408.66,0,BRL
2005-09-09,416.2,416.2,416.2,416.2,0,BRL
2005-09-12,415.05,415.05,415.05,415.05,0,BRL
2005-09-13,410.18,410.18,410.18,410.18,0,BRL
2005-09-14,412.5,412.5,412.5,412.5,0,BRL
2005-09-15,416.58,416.58,416.58,416.58,0,BRL
2005-09-16,422.81,422.81,422.81,422.81,0,BRL
2005-09-19,426.7,426.7,426.7,426.7,0,BRL
2005-09-20,429.36,429.36,429.36,429.36,0,BRL
2005-09-21,440.97,440.97,440.97,440.97,0,BRL
2005-09-22,437.35,437.35,437.35,437.35,0,BRL
2005-09-23,441.86,441.86,441.86,441.86,0,BRL
2005-09-26,440.1,440.1,440.1,440.1,0,BRL
2005-09-27,438.22,438.22,438.22,438.22,0,BRL
2005-09-28,443.56,443.56,443.56,443.56,0,BRL
2005-09-29,440.68,440.68,440.68,440.68,0,BRL
2005-09-30,444.95,444.95,444.95,444.95,0,BRL
2005-10-03,449.03,449.03,449.03,449.03,0,BRL
2005-10-04,442.4,442.4,442.4,442.4,0,BRL
2005-10-05,424.83,424.83,424.83,424.83,0,BRL
2005-10-06,410.76,410.76,410.76,410.76,0,BRL
2005-10-07,419.01,419.01,419.01,419.01,0,BRL
2005-10-10,421.21,421.21,421.21,421.21,0,BRL
2005-10-11,427.53,427.53,427.53,427.53,0,BRL
2005-10-13,414.92,414.92,414.92,414.92,0,BRL
2005-10-14,413.44,413.44,413.44,413.44,0,BRL
2005-10-17,422.99,422.99,422.99,422.99,0,BRL
2005-10-18,407.83,407.83,407.83,407.83,0,BRL
2005-10-19,406.07,406.07,406.07,406.07,0,BRL
2005-10-20,395.26,395.26,395.26,395.26,0,BRL
2005-10-21,407.07,407.07,407.07,407.07,0,BRL
2005-10-24,420.1,420.1,420.1,420.1,0,BRL
2005-10-25,414.72,414.72,414.72,414.72,0,BRL
2005-10-26,418.46,418.46,418.46,418.46,0,BRL
2005-10-27,409.76,409.76,409.76,409.76,0,BRL
2005-10-28,412.96,412.96,412.96,412.96,0,BRL
2005-10-31,426.58,426.58,426.58,426.58,0,BRL
2005-11-01,436.08,436.08,436.08,436.08,0,BRL
2005-11-03,439.45,439.45,439.45,439.45,0,BRL
2005-11-04,433.45,433.45,433.45,433.45,0,BRL
2005-11-07,434.86,434.86,434.86,434.86,0,BRL
2005-11-08,437.21,437.21,437.21,437.21,0,BRL
2005-11-09,434.77,434.77,434.77,434.77,0,BRL
2005-11-10,431.39,431.39,431.39,431.39,0,BRL
2005-11-11,428.05,428.05,428.05,428.05,0,BRL
2005-11-14,428.2,428.2,428.2,428.2,0,BRL
2005-11-16,433.92,433.92,433.92,433.92,0,BRL
2005-11-17,441.97,441.97,441.97,441.97,0,BRL
2005-11-18,442.05,442.05,442.05,442.05,0,BRL
2005-11-21,443.26,443.26,443.26,443.26,0,BRL
2005-11-22,450.31,450.31,450.31,450.31,0,BRL
2005-11-23,457.77,457.77,457.77,457.77,0,BRL
2005-11-24,455.85,455.85,455.85,455.85,0,BRL
2005-11-25,456.94,456.94,456.94,456.94,0,BRL
2005-11-28,448.33,448.33,448.33,448.33,0,BRL
2005-11-29,451.69,451.69,451.69,451.69,0,BRL
2005-11-30,454.45,454.45,454.45,454.45,0,BRL
2005-12-01,465.01,465.01,465.01,465.01,0,BRL
2005-12-02,468.96,468.96,468.96,468.96,0,BRL
2005-12-05,468.45,468.45,468.45,468.45,0,BRL
2005-12-06,474.21,474.21,474.21,474.21,0,BRL
2005-12-07,465.53,465.53,465.53,465.53,0,BRL
2005-12-08,461.19,461.19,461.19,461.19,0,BRL
2005-12-09,465.62,465.62,465.62,465.62,0,BRL
2005-12-12,467.61,467.61,467.61,467.61,0,BRL
2005-12-13,471.03,471.03,471.03,471.03,0,BRL
2005-12-14,473.34,473.34,473.34,473.34,0,BRL
2005-12-15,468.63,468.63,468.63,468.63,0,BRL
2005-12-16,471.39,471.39,471.39,471.39,0,BRL
2005-12-19,468.83,468.83,468.83,468.83,0,BRL
2005-12-20,468.46,468.46,468.46,468.46,0,BRL
2005-12-21,475.58,475.58,475.58,475.58,0,BRL
2005-12-22,477.25,477.25,477.25,477.25,0,BRL
2005-12-23,475.21,475.21,475.21,475.21,0,BRL
2005-12-26,472.47,472.47,472.47,472.47,0,BRL
2005-12-27,474.08,474.08,474.08,474.08,0,BRL
2005-12-28,472.93,472.93,472.93,472.93,0,BRL
2005-12-29,475.73,475.73,475.73,475.73,0,BRL
2006-01-02,479.47,479.47,479.47,479.47,0,BRL
2006-01-03,493.7,493.7,493.7,493.7,0,BRL
2006-01-04,501.27,501.27,501.27,501.27,0,BRL
2006-01-05,500.31,500.31,500.31,500.31,0,BRL
2006-01-06,510.08,510.08,510.08,510.08,0,BRL
2006-01-09,508.4,508.4,508.4,508.4,0,BRL
2006-01-10,506.6,506.6,506.6,506.6,0,BRL
2006-01-11,520.07,520.07,520.07,520.07,0,BRL
2006-01-12,520.07,520.07,520.07,520.07,0,BRL
2006-01-13,521.91,521.91,521.91,521.91,0,BRL
2006-01-16,531.75,531.75,531.75,531.75,0,BRL
2006-01-17,525.53,525.53,525.53,525.53,0,BRL
2006-01-18,519.74,519.74,519.74,519.74,0,BRL
2006-01-19,536.68,536.68,536.68,536.68,0,BRL
2006-01-20,533.38,533.38,533.38,533.38,0,BRL
2006-01-23,532.11,532.11,532.11,532.11,0,BRL
2006-01-24,544.42,544.42,544.42,544.42,0,BRL
2006-01-26,552.69,552.69,552.69,552.69,0,BRL
2006-01-27,550.99,550.99,550.99,550.99,0,BRL
2006-01-30,559.35,559.35,559.35,559.35,0,BRL
2006-01-31,564.3,564.3,564.3,564.3,0,BRL
2006-02-01,564.53,564.53,564.53,564.53,0,BRL
2006-02-02,546.4,546.4,546.4,546.4,0,BRL
2006-02-03,541.5,541.5,541.5,541.5,0,BRL
2006-02-06,545.66,545.66,545.66,545.66,0,BRL
2006-02-07,530.9,530.9,530.9,530.9,0,BRL
