Date,Open,High,Low,Close,Volume,Currency
2005-09-02,519.15,519.15,519.15,519.15,0,BRL
2005-09-05,522.8,522.8,522.8,522.8,0,BRL
2005-09-06,528.04,528.04,528.04,528.04,0,BRL
2005-09-08,526.82,526.82,526.82,526.82,0,BRL
2005-09-09,537.65,537.65,537.65,537.65,0,BRL
2005-09-12,534.97,534.97,534.97,534.97,0,BRL
2005-09-13,536.44,536.44,536.44,536.44,0,BRL
2005-09-14,540.86,540.86,540.86,540.86,0,BRL
2005-09-15,545.13,545.13,545.13,545.13,0,BRL
2005-09-16,551.65,551.65,551.65,551.65,0,BRL
2005-09-19,557.22,557.22,557.22,557.22,0,BRL
2005-09-20,550.98,550.98,550.98,550.98,0,BRL
2005-09-21,555.42,555.42,555.42,555.42,0,BRL
2005-09-22,551.41,551.41,551.41,551.41,0,BRL
2005-09-23,557.27,557.27,557.27,557.27,0,BRL
2005-09-26,556.34,556.34,556.34,556.34,0,BRL
2005-09-27,556.43,556.43,556.43,556.43,0,BRL
2005-09-28,565.55,565.55,565.55,565.55,0,BRL
2005-09-29,566.73,566.73,566.73,566.73,0,BRL
2005-09-30,576.23,576.23,576.23,576.23,0,BRL
2005-10-03,581.31,581.31,581.31,581.31,0,BRL
2005-10-04,569.7,569.7,569.7,569.7,0,BRL
2005-10-05,559.08,559.08,559.08,559.08,0,BRL
2005-10-06,543.21,543.21,543.21,543.21,0,BRL
2005-10-07,555.69,555.69,555.69,555.69,0,BRL
2005-10-10,558.62,558.62,558.62,558.62,0,BRL
2005-10-11,558.8,558.8,558.8,558.8,0,BRL
2005-10-13,553.8,553.8,553.8,553.8,0,BRL
2005-10-14,554.28,554.28,554.28,554.28,0,BRL
2005-10-17,555.47,555.47,555.47,555.47,0,BRL
2005-10-18,538.12,538.12,538.12,538.12,0,BRL
2005-10-19,543.66,543.66,543.66,543.66,0,BRL
2005-10-20,526.74,526.74,526.74,526.74,0,BRL
2005-10-21,535.51,535.51,535.51,535.51,0,BRL
2005-10-24,537.57,537.57,537.57,537.57,0,BRL
2005-10-25,535.31,535.31,535.31,535.31,0,BRL
2005-10-26,539.95,539.95,539.95,539.95,0,BRL
2005-10-27,530.43,530.43,530.43,530.43,0,BRL
2005-10-28,538.42,538.42,538.42,538.42,0,BRL
2005-10-31,544.83,544.83,544.83,544.83,0,BRL
2005-11-01,554.02,554.02,554.02,554.02,0,BRL
2005-11-03,554.05,554.05,554.05,554.05,0,BRL
2005-11-04,556.73,556.73,556.73,556.73,0,BRL
2005-11-07,557.81,557.81,557.81,557.81,0,BRL
2005-11-08,558.84,558.84,558.84,558.84,0,BRL
2005-11-09,557.21,557.21,557.21,557.21,0,BRL
2005-11-10,558.38,558.38,558.38,558.38,0,BRL
2005-11-11,553.87,553.87,553.87,553.87,0,BRL
2005-11-14,549.04,549.04,549.04,549.04,0,BRL
2005-11-16,551.55,551.55,551.55,551.55,0,BRL
2005-11-17,559.87,559.87,559.87,559.87,0,BRL
2005-11-18,561.66,561.66,561.66,561.66,0,BRL
2005-11-21,562.02,562.02,562.02,562.02,0,BRL
2005-11-22,568.5,568.5,568.5,568.5,0,BRL
2005-11-23,553.98,553.98,553.98,553.98,0,BRL
2005-11-24,559.68,559.68,559.68,559.68,0,BRL
2005-11-25,561.43,561.43,561.43,561.43,0,BRL
2005-11-28,556.42,556.42,556.42,556.42,0,BRL
2005-11-29,560.34,560.34,560.34,560.34,0,BRL
2005-11-30,563.55,563.55,563.55,563.55,0,BRL
2005-12-01,573.28,573.28,573.28,573.28,0,BRL
2005-12-02,580.7,580.7,580.7,580.7,0,BRL
2005-12-05,582.22,582.22,582.22,582.22,0,BRL
2005-12-06,587.17,587.17,587.17,587.17,0,BRL
2005-12-07,582.98,582.98,582.98,582.98,0,BRL
2005-12-08,581.03,581.03,581.03,581.03,0,BRL
2005-12-09,586.36,586.36,586.36,586.36,0,BRL
2005-12-12,583.83,583.83,583.83,583.83,0,BRL
2005-12-13,589.94,589.94,589.94,589.94,0,BRL
2005-12-14,588.92,588.92,588.92,588.92,0,BRL
2005-12-15,584.48,584.48,584.48,584.48,0,BRL
2005-12-16,583.03,583.03,583.03,583.03,0,BRL
2005-12-19,574.7,574.7,574.7,574.7,0,BRL
2005-12-20,580.49,580.49,580.49,580.49,0,BRL
2005-12-21,586.99,586.99,586.99,586.99,0,BRL
2005-12-22,586.89,586.89,586.89,586.89,0,BRL
2005-12-23,585.95,585.95,585.95,585.95,0,BRL
2005-12-26,586.34,586.34,586.34,586.34,0,BRL
2005-12-27,586.0,586.0,586.0,586.0,0,BRL
2005-12-28,584.81,584.81,584.81,584.81,0,BRL
2005-12-29,593.06,593.06,593.06,593.06,0,BRL
2006-01-02,592.01,592.01,592.01,592.01,0,BRL
2006-01-03,606.39,606.39,606.39,606.39,0,BRL
2006-01-04,616.96,616.96,616.96,616.96,0,BRL
2006-01-05,620.37,620.37,620.37,620.37,0,BRL
2006-01-06,635.29,635.29,635.29,635.29,0,BRL
2006-01-09,635.55,635.55,635.55,635.55,0,BRL
2006-01-10,628.41,628.41,628.41,628.41,0,BRL
2006-01-11,640.14,640.14,640.14,640.14,0,BRL
2006-01-12,636.6,636.6,636.6,636.6,0,BRL
2006-01-13,640.27,640.27,640.27,640.27,0,BRL
2006-01-16,653.11,653.11,653.11,653.11,0,BRL
2006-01-17,647.26,647.26,647.26,647.26,0,BRL
2006-01-18,650.9,650.9,650.9,650.9,0,BRL
2006-01-19,666.95,666.95,666.95,666.95,0,BRL
2006-01-20,667.31,667.31,667.31,667.31,0,BRL
2006-01-23,667.94,667.94,667.94,667.94,0,BRL
2006-01-24,676.67,676.67,676.67,676.67,0,BRL
2006-01-26,686.65,686.65,686.65,686.65,0,BRL
2006-01-27,683.37,683.37,683.37,683.37,0,BRL
2006-01-30,683.83,683.83,683.83,683.83,0,BRL
2006-01-31,677.59,677.59,677.59,677.59,0,BRL
2006-02-01,678.85,678.85,678.85,678.85,0,BRL
2006-02-02,670.58,670.58,670.58,670.58,0,BRL
2006-02-03,671.34,671.34,671.34,671.34,0,BRL
2006-02-06,663.84,663.84,663.84,663.84,0,BRL
2006-02-07,654.74,654.74,654.74,654.74,0,BRL
2006-02-08,661.64,661.64,661.64,661.64,0,BRL
2006-02-09,671.05,671.05,671.05,671.05,0,BRL
2006-02-10,678.8,678.8,678.8,678.8,0,BRL
2006-02-13,676.51,676.51,676.51,676.51,0,BRL
2006-02-14,681.93,681.93,681.93,681.93,0,BRL
2006-02-15,682.05,682.05,682.05,682.05,0,BRL
2006-02-16,693.26,693.26,693.26,693.26,0,BRL
2006-02-17,692.58,692.58,692.58,692.58,0,BRL
2006-02-20,690.31,690.31,690.31,690.31,0,BRL
2006-02-21,680.65,680.65,680.65,680.65,0,BRL
2006-02-22,680.53,680.53,680.53,680.53,0,BRL
2006-02-23,681.52,681.52,681.52,681.52,0,BRL
2006-02-24,691.47,691.47,691.47,691.47,0,BRL
2006-03-01,704.06,704.06,704.06,704.06,0,BRL
2006-03-02,705.3,705.3,705.3,705.3,0,BRL
2006-03-03,713.78,713.78,713.78,713.78,0,BRL
2006-03-06,703.78,703.78,703.78,703.78,0,BRL
2006-03-07,689.97,689.97,689.97,689.97,0,BRL
2006-03-08,687.17,687.17,687.17,687.17,0,BRL
2006-03-09,678.3,678.3,678.3,678.3,0,BRL
2006-03-10,687.67,687.67,687.67,687.67,0,BRL
2006-03-13,680.77,680.77,680.77,680.77,0,BRL
2006-03-14,684.86,684.86,684.86,684.86,0,BRL
2006-03-15,694.63,694.63,694.63,694.63,0,BRL
2006-03-16,700.35,700.35,700.35,700.35,0,BRL
2006-03-17,692.21,692.21,692.21,692.21,0,BRL
2006-03-20,690.85,690.85,690.85,690.85,0,BRL
2006-03-21,678.46,678.46,678.46,678.46,0,BRL
2006-03-22,691.08,691.08,691.08,691.08,0,BRL
2006-03-23,687.75,687.75,687.75,687.75,0,BRL
2006-03-24,687.56,687.56,687.56,687.56,0,BRL
2006-03-27,692.27,692.27,692.27,692.27,0,BRL
2006-03-28,681.53,681.53,681.53,681.53,0,BRL
2006-03-29,683.1,683.1,683.1,683.1,0,BRL
2006-03-30,688.13,688.13,688.13,688.13,0,BRL
2006-03-31,690.36,690.36,690.36,690.36,0,BRL
2006-04-03,701.14,701.14,701.14,701.14,0,BRL
2006-04-04,703.48,703.48,703.48,703.48,0,BRL
2006-04-05,702.44,702.44,702.44,702.44,0,BRL
2006-04-06,699.73,699.73,699.73,699.73,0,BRL
2006-04-07,694.75,694.75,694.75,694.75,0,BRL
2006-04-10,688.46,688.46,688.46,688.46,0,BRL
