month,avg,count,std,t,p
1,0.000708512078908844,295,0.012185931656104298,0.9986183187246138,0.3188008157197344
2,0.00017068916079665598,262,0.0120829020228016,0.22865743894577778,0.8193142325983982
3,0.0008475051301637081,297,0.014470775565062351,1.0093197061066046,0.313645682123928
4,0.000941684346261074,281,0.012890711283503213,1.2245643997900135,0.22176864738578192
5,-0.00037373301096799356,306,0.011985170740856138,-0.5454788894349264,0.5858228894007764
6,0.000316353742539096,308,0.011635438918630536,0.47716168577945,0.6335864902198434
7,0.0011339212566061265,326,0.010239064585540816,1.9995460675785734,0.04638139491630336
8,0.0005392551319879626,333,0.012287270456663441,0.8008680827925999,0.4237807663256923
9,-0.00022214704160482856,312,0.012091705061001573,-0.3245116447545104,0.7457688679071213
10,0.0008939471264500992,301,0.013736765994011933,1.1290432545131066,0.25978159290039493
11,0.0003744532583985063,272,0.013620068391509107,0.45342219784923676,0.6506076086970025
12,0.0005265274316722264,276,0.011732567962387612,0.7455597687446812,0.4565701627081652
