month,avg,count,std,t,p
1,-0.00011611927371112559,314,0.0037905738292929574,-0.5428304170356721,0.5876328888048261
2,0.0005574092995714175,282,0.0038011440530247536,2.462546475603304,0.014395516891683434
3,0.0007994159441460909,318,0.004026045672809872,3.540851135527807,0.000458643068507784
4,0.0007797606776070872,300,0.003472808798768906,3.889028131461157,0.00012406374680430182
5,0.000501687358231404,319,0.00338726014343988,2.645330547983409,0.008566540159730466
6,0.00043093038931330544,308,0.003851723930830794,1.96348382572354,0.0504923161896217
7,0.0005746953210891932,325,0.003123125535235152,3.3173393521632994,0.0010120791689352817
8,0.0001642586019773618,333,0.003180298252483441,0.9425022341286851,0.3466208820830926
9,0.00039142509850780574,312,0.0029516931757451437,2.3423659989504575,0.019792343976644252
10,0.0001822095344613382,301,0.0030286621691626115,1.043766883441401,0.2974335894390211
11,-0.00016450949201717127,272,0.00337985750867562,-0.8027439148099317,0.42282620445530894
12,0.001081801203017858,276,0.004785542647301794,3.7555263217592323,0.00021113148384718393
