month,avg,count,std,t,p
1,0.00031577450155132744,419,0.01349953360955388,0.4788123077292997,0.6323225240222463
2,0.00046643463979409585,374,0.01314327615797724,0.6863141671425792,0.4929414147428398
3,0.0006579928579175987,428,0.01541336814042772,0.8831724493295863,0.377640052429299
4,0.0013232195254452932,399,0.01294791153257874,2.0413554149698405,0.041874548533131675
5,8.256862793073657e-05,425,0.013736456428768149,0.12391812112757544,0.9014388272438478
6,-8.156793221291748e-05,413,0.012878923732218333,-0.12871077560120694,0.8976493148363272
7,0.001346560917878174,451,0.011674230043107723,2.449548425542201,0.014683731469505761
8,0.0005557937726512791,466,0.013048088543216261,0.9195169508719093,0.35830198539416636
9,0.0003346401190555862,436,0.01348781299690319,0.5180595866684694,0.6046800773482326
10,0.00030798618345454583,429,0.016339160586022024,0.3904182756728155,0.6964215150999111
11,0.000803737197927136,389,0.015038583527504078,1.0541002996910251,0.292492958853232
12,0.0007938745872664432,395,0.012294467664900709,1.2833370090726284,0.20012833774153624
